Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2009-07-07,25.51,184.5,4288798,1.51E+11,-2926,-16673,24035,1701,57750,41380,0.97,2,Tue
2009-07-08,25.43,185.11,4446935,-1.95E+11,-2128,41480,71037,932,84533,10423,0.77,1,Wed
2009-07-09,25.56,184.73,4770233,3.11E+11,1106,74678,169389,-1343,384193,270737,1.02,0,Thu
2009-07-10,24.39,184.72,824474,-35083324450,2263,25082,17609,-1888,-13295,-18911,1.09,24,Fri
2009-07-13,27.49,184.56,1106822,-2.31E+11,-7770,3976,42804,4218,10698,-48668,1.04,23,Mon
2009-07-14,26.23,178.15,1545967,-21504843400,3911,7543,11006,-3172,-24922,-3522,0.88,22,Tue
2009-07-15,25.63,179.43,1711796,4.77E+11,4820,38520,-10738,-2881,-50374,15747,0.92,21,Wed
2009-07-16,25.37,184.26,1920544,5.39E+11,5455,39581,-3106,-511,-44283,761,1.03,20,Thu
2009-07-17,24.95,186.22,2023823,1.63E+11,8688,-25783,3704,-5572,27889,-8629,1.1,19,Fri
2009-07-20,24.39,187.16,2099074,5.2E+11,-490,1035,27900,2506,28596,64218,1.32,18,Mon
2009-07-21,24.12,192.25,2482836,4.04E+11,1282,322,43803,908,-2217,-6847,1.06,17,Tue
2009-07-22,24.63,193.62,2702975,3.16E+11,2558,-7294,19597,-442,20606,-1035,1.34,16,Wed
2009-07-23,24.53,194.29,2817320,3.19E+11,1766,-7214,11871,360,21641,-2691,0.97,15,Thu
2009-07-24,24.66,194.4,3024170,4.44E+11,1311,4845,-15269,-756,1551,18923,1.2,14,Fri
2009-07-27,25.88,195.13,3167630,4.83E+11,-2758,411,11860,2400,-18269,20263,1.14,13,Mon
2009-07-28,26.11,198.07,3368724,4.91E+11,80,-6189,-32620,-968,10718,22309,1.06,12,Tue
2009-07-29,26.76,198.52,3529176,2.88E+11,313,15583,13610,618,-7384,-21750,1.05,11,Wed
2009-07-30,26.69,198.24,3615041,2.79E+11,-1883,-41778,19913,155,55412,4511,1.28,10,Thu
2009-07-31,25.62,199.88,3715474,5.76E+11,-5257,67300,-3264,915,-75119,102656,0.96,9,Fri
2009-08-03,26.89,202.96,4048226,4.03E+11,-5232,-29309,46336,3170,33152,104142,1.14,8,Mon
2009-08-04,27.43,203.81,4504266,5.94E+11,-1870,-29935,15840,1903,133185,75617,0.79,7,Tue
2009-08-05,26.83,204.1,5194456,85804738880,3445,-12825,-20878,-1437,113951,62661,0.94,6,Wed
